global_day,month,cycle,variant,day_in_variant,day_type,meal_count,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal,energy_reference_kcal,energy_delta_kcal,energy_delta_pct,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,soft_windows_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,review_score
88,Novembre,3,6,3,D3,3,7.2,1,0,0,1474.0,1467.0,7.0,0.0048,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,2,160
89,Novembre,3,6,4,D4,5,0.0,3,2,0,1547.0,1614.0,-67.0,-0.0415,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,210
90,Novembre,3,6,5,D5,5,0.0,0,0,0,1631.2,1626.0,5.2,0.0032,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,127
91,Dicembre,4,1,1,D1,5,6.8,1,1,0,1615.2,1612.0,3.2,0.002,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,138
92,Dicembre,4,1,2,D2,6,0.0,2,1,0,1700.5,1709.0,-8.5,-0.005,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,0,0,213
93,Dicembre,4,1,3,D3,3,6.8,0,1,0,1467.5,1467.0,0.5,0.0003,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,138
94,Dicembre,4,1,4,D4,5,5.0,2,1,0,1625.0,1614.0,11.0,0.0068,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,2,221
95,Dicembre,4,1,5,D5,5,2.0,1,1,0,1535.4,1626.0,-90.6,-0.0557,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,127
96,Dicembre,4,2,1,D1,5,0.0,1,1,0,1573.4,1612.0,-38.6,-0.0239,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,1,0,135
97,Dicembre,4,2,2,D2,6,0.0,3,1,0,1706.1,1709.0,-2.9,-0.0017,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,0,1,216
